survey_version,in_pot_or_ground ,country,region,latitude,longitude,final_height_(cm),alive,number_of_stems,start_year,start_height (cm),watering,fertiliser, 
LONG,ground,England,UK,51.08102001,-4.059230019,457,Yes,1,2009,60.96,NOWATER,No,Clay
LONG,ground,England,UK,51.08360032,-1.980610099,130,Yes,1,2007,38.1,NOWATER,No,Loamy
LONG,ground,England,UK,51.08530242,-0.698496885,300,Yes,1,2011,150,NOWATER,No,Clay
SHORT,ground,England,UK,51.09007985,-0.711130303,400,Yes,1,,,,,
LONG,ground,England ,UK,51.09253646,-0.178055466,150,Yes,1,2016,120,NOWATER,No,Clay
LONG,ground,England,UK,51.10596937,-2.317487726,210,Yes,1,2013,,NOWATER,,
LONG,ground,England,UK,51.11097608,-0.630805463,210,Yes,1,2013,,NOWATER,No,Clay
LONG,ground,England,UK,51.11097608,-0.630805463,210,Yes,1,,,,,
LONG,pot,England,UK,51.1249792,0.833504151,140,Yes,1,,,YESWATER,No,Loamy
LONG,pot,England,UK,51.13133556,-0.013880328,152,Yes,1,2016,127,YESWATER,No,Potting mix
LONG,ground,England,UK,51.13478599,-1.486194609,200,Yes,2,,,,,
SHORT,ground,Germany,Europe,51.14901912,6.34575175,430,Yes,1,,,,,
LONG,,England,UK,51.15167159,-0.971228675,650,Yes,1,2005,30,NOWATER,No,Loamy
LONG,pot,England,UK,51.17357649,-0.650022003,39,Yes,1,2019,38,NOWATER,No,
LONG,pot,England,UK,51.18649449,-0.613943879,30,Yes,1,2019,25,NOWATER,No,
LONG,,England,UK,51.18670363,-0.608651621,200,Yes,1,2015,180,,,Sandy
LONG,ground,England,UK,51.18670363,-0.608651621,200,Yes,1,,,,,
LONG,pot,England,UK,51.22226037,-0.048645147,152,Yes,1,2010,NA,NOWATER,No,
LONG,ground,England,UK,51.23107175,-2.317489623,250,Yes,1,,,,,
LONG,ground,England,UK,51.23176218,-0.332767088,250,Yes,1,2011,150,NOWATER,No,Loamy
SHORT,ground,Germany,Europe,51.24742155,6.805048957,600,Yes,1,,,,,
LONG,,England,UK,51.26503718,0.275817798,300,Yes,1,1997,45,YESWATER,No,Loamy
LONG,,England,UK,51.26503718,0.275817798,400,Yes,1,1997,45,YESWATER,No,Loamy
SHORT,ground,England,UK,51.27215009,0.188544897,400,Yes,1,,45,YESWATER,No,
LONG,,England,UK,51.27240962,0.190256793,300,Yes,1,,,YESWATER,No,
LONG,,England,UK,51.27240962,0.190256793,400,Yes,1,,,YESWATER,No,
SHORT,ground,England ,UK,51.27528965,-0.376304044,125,Yes,1,,,,,
SHORT,ground,England ,UK,51.27528965,-0.376304044,127,Yes,1,,,,,
SHORT,ground,England ,UK,51.27528965,-0.376304044,165,Yes,1,,,,,
SHORT,pot,England,UK,51.28452971,1.077511658,8,Yes,1,,,,,
LONG,ground,England,UK,51.29143237,-2.44566116,300,Yes,1,2010,20,YESWATER,Yes,
LONG,,England,UK,51.30512511,0.391140754,3,Yes,1,2019,,YESWATER,,
LONG,,England,UK,51.30512511,0.391140754,4,Yes,1,2019,,YESWATER,,
LONG,,England,UK,51.30512511,0.391140754,4,Yes,1,2019,,YESWATER,,
LONG,,England,UK,51.30512511,0.391140754,5,No,1,2019,,YESWATER,,
LONG,ground,England,UK,51.31458163,-0.580366026,100,Yes,1,2006,25,YESWATER,Yes,Chalky
LONG,ground,England,UK,51.31507672,-0.58061318,1000,Yes,1,2006,500,YESWATER,Yes,Loamy
