"pointid","Date","Month","Colony","NestBox","Retrap / new","Sex","Wgt","Age","Breeding status","Pouch","Location","Forest_type","Old_growth","east","north","zone","hemisphere","lat","lon","psf","grid_conv","DEM","Slope","Aspect","TWI","Relative Slope Index 10m Resolution","Valley Depth  10 m Resolution","Slope Length Factor 10 m Resolution","Leo location"
81,"27/3/2006","March","C10","C10","New","Male",133.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400732,5850834,55,"South",-37.48407021,145.87719,0.99972138,-0.683331,1409.329956,7.219120026,67.50289917,7.913249969,0.702014029,7.989439964,3.330529928,
82,"27/3/2006","March","C10","C10","New","Female",133.0,"Adult","Breeding","Lactating 2 teats","Lake Mountain","SubAlpine Woodland","No ",400732,5850834,55,"South",-37.48407021,145.87719,0.99972138,-0.683331,1409.329956,7.219120026,67.50289917,7.913249969,0.702014029,7.989439964,3.330529928,
83,"27/3/2006","March","E18","E18","New","Female",129.0,"Adult",,,"Lake Mountain","Riparian Woodlands","No ",402421,5850222,55,"South",-37.48976556,145.8962097,0.99971728,-0.671842,1365.449951,8.688899994,266.4500122,7.272679806,0.378628999,27.84670067,8.587120056,
84,"27/3/2006","March","E18","E18","New","Male",151.0,"Adult","Breeding",,"Lake Mountain","Riparian Woodlands","No ",402421,5850222,55,"South",-37.48976556,145.8962097,0.99971728,-0.671842,1365.449951,8.688899994,266.4500122,7.272679806,0.378628999,27.84670067,8.587120056,
85,"27/3/2006","March","E18","E18","New","Male",142.0,"Adult",,,"Lake Mountain","Riparian Woodlands","No ",402421,5850222,55,"South",-37.48976556,145.8962097,0.99971728,-0.671842,1365.449951,8.688899994,266.4500122,7.272679806,0.378628999,27.84670067,8.587120056,
86,"24/3/2007","March","C10","C10","Retrap","Male",146.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400732,5850834,55,"South",-37.48407021,145.87719,0.99972138,-0.683331,1409.329956,7.219120026,67.50289917,7.913249969,0.702014029,7.989439964,3.330529928,
87,"24/3/2007","March","C10","C10","Retrap","Male",139.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400732,5850834,55,"South",-37.48407021,145.87719,0.99972138,-0.683331,1409.329956,7.219120026,67.50289917,7.913249969,0.702014029,7.989439964,3.330529928,
88,"24/3/2007","March","C10","C10","Retrap","Female",133.0,"Adult","Breeding","Lactating 2 teats","Lake Mountain","SubAlpine Woodland","No ",400732,5850834,55,"South",-37.48407021,145.87719,0.99972138,-0.683331,1409.329956,7.219120026,67.50289917,7.913249969,0.702014029,7.989439964,3.330529928,
89,"24/3/2007","March","N26","N26","New","Male",125.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401002,5852239,55,"South",-37.47143737,145.8804324,0.99972072,-0.681162,1442.02002,7.457699776,272.2409973,5.699029922,0.995661974,0.28581199,2.656670094,
90,"24/3/2007","March","N26","N26","New","Female",140.0,"Adult",,"Tight & unstained","Lake Mountain","SubAlpine Woodland","No ",401002,5852239,55,"South",-37.47143737,145.8804324,0.99972072,-0.681162,1442.02002,7.457699776,272.2409973,5.699029922,0.995661974,0.28581199,2.656670094,
91,"24/3/2007","March","N26","N26","Retrap","Male",142.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401002,5852239,55,"South",-37.47143737,145.8804324,0.99972072,-0.681162,1442.02002,7.457699776,272.2409973,5.699029922,0.995661974,0.28581199,2.656670094,
93,"24/3/2007","March","N26","N26","New","Male",132.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401002,5852239,55,"South",-37.47143737,145.8804324,0.99972072,-0.681162,1442.02002,7.457699776,272.2409973,5.699029922,0.995661974,0.28581199,2.656670094,
94,"25/3/2007","March","S1","S1","Retrap","Male",136.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400783,5849134,55,"South",-37.499396,145.8775375,0.99972125,-0.683358,1388.25,6.559130192,277.8720093,5.980929852,1.0,0.0,1.435400009,
95,"25/3/2007","March","S1","S1","New","Male",143.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400783,5849134,55,"South",-37.499396,145.8775375,0.99972125,-0.683358,1388.25,6.559130192,277.8720093,5.980929852,1.0,0.0,1.435400009,
97,"25/3/2007","March","S2","S2","Retrap","Male",143.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401011,5848902,55,"South",-37.50151125,145.8800853,0.9997207,-0.68184,1395.77002,5.770770073,351.4309998,8.988160133,0.871833026,10.79629993,7.285830021,
99,"25/3/2007","March","E15","E15","Retrap","Male",135.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401451,5850839,55,"South",-37.48410215,145.8853218,0.99971963,-0.678382,1406.5,9.347940445,280.7019959,5.621190071,0.838087022,4.530729771,4.70182991,
100,"25/3/2007","March","E15","E15","Retrap","Female",124.0,"Adult","Breeding",,"Lake Mountain","SubAlpine Woodland","No ",401451,5850839,55,"South",-37.48410215,145.8853218,0.99971963,-0.678382,1406.5,9.347940445,280.7019959,5.621190071,0.838087022,4.530729771,4.70182991,
101,"25/3/2007","March","E15","E15","Retrap","Male",139.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401451,5850839,55,"South",-37.48410215,145.8853218,0.99971963,-0.678382,1406.5,9.347940445,280.7019959,5.621190071,0.838087022,4.530729771,4.70182991,
102,"25/3/2007","March","E18","E18","Retrap","Female",123.0,"Adult","Breeding","Lactating 1 teat","Lake Mountain","Riparian Woodlands","No ",402421,5850222,55,"South",-37.48976556,145.8962097,0.99971728,-0.671842,1365.449951,8.688899994,266.4500122,7.272679806,0.378628999,27.84670067,8.587120056,
103,"25/3/2007","March","E18","E18","Retrap","Male",140.0,"Adult",,,"Lake Mountain","Riparian Woodlands","No ",402421,5850222,55,"South",-37.48976556,145.8962097,0.99971728,-0.671842,1365.449951,8.688899994,266.4500122,7.272679806,0.378628999,27.84670067,8.587120056,
104,"25/3/2007","March","E18","E18","Retrap","Male",132.0,"Adult",,,"Lake Mountain","Riparian Woodlands","No ",402421,5850222,55,"South",-37.48976556,145.8962097,0.99971728,-0.671842,1365.449951,8.688899994,266.4500122,7.272679806,0.378628999,27.84670067,8.587120056,
105,"26/3/2007","March","W21","W21","New","Female",139.0,"Adult","Breeding",,"Lake Mountain","SubAlpine Woodland","No ",400497,5851994,55,"South",-37.47359105,145.8746892,0.99972195,-0.68469,1403.550049,14.99530029,355.8009949,8.565919876,0.131667003,36.04679871,27.90530014,
106,"26/3/2007","March","W21","W21","New","Male",136.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400497,5851994,55,"South",-37.47359105,145.8746892,0.99972195,-0.68469,1403.550049,14.99530029,355.8009949,8.565919876,0.131667003,36.04679871,27.90530014,
107,"26/3/2007","March","W21","W21","New","Male",139.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400497,5851994,55,"South",-37.47359105,145.8746892,0.99972195,-0.68469,1403.550049,14.99530029,355.8009949,8.565919876,0.131667003,36.04679871,27.90530014,
109,"26/3/2007","March","W22","W22","New","Female",131.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400213,5852020,55,"South",-37.47332611,145.8714815,0.99972265,-0.686638,1399.699951,12.4921999,345.7269897,6.099820137,0.288823992,36.80759811,12.17640018,
110,"26/3/2007","March","W22","W22","New","Male",138.0,"Adult","Breeding",,"Lake Mountain","SubAlpine Woodland","No ",400213,5852020,55,"South",-37.47332611,145.8714815,0.99972265,-0.686638,1399.699951,12.4921999,345.7269897,6.099820137,0.288823992,36.80759811,12.17640018,
111,"26/3/2007","March","W22","W22",,"Female",136.0,"Adult",,"Tight & unstained","Lake Mountain","SubAlpine Woodland","No ",400213,5852020,55,"South",-37.47332611,145.8714815,0.99972265,-0.686638,1399.699951,12.4921999,345.7269897,6.099820137,0.288823992,36.80759811,12.17640018,
112,"26/3/2007","March","W24","W24","New","Female",131.0,"Adult","Breeding","Lactating 1 teat","Lake Mountain","SubAlpine Woodland","No ",400122,5851576,55,"South",-37.47731758,145.8703923,0.99972288,-0.687364,1433.030029,7.083429813,79.48760223,5.163589954,0.771629989,5.82886982,2.952749968,
113,"27/3/2007","March","E13","E13","New","Male",134.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",401351,5851362,55,"South",-37.47937821,145.884261,0.99971987,-0.678955,1377.819946,7.035709858,131.2769928,7.901350021,0.106532998,30.50419998,7.448579788,
114,"27/3/2007","March","E13","E13","New","Female",143.0,"Adult",,"Lactating 1 teat","Lake Mountain","SubAlpine Woodland","No ",401351,5851362,55,"South",-37.47937821,145.884261,0.99971987,-0.678955,1377.819946,7.035709858,131.2769928,7.901350021,0.106532998,30.50419998,7.448579788,
115,"27/3/2007","March","N28","N28","New","Female",129.0,"Adult","Breeding","Lactating 1 teat","Lake Mountain","SubAlpine Woodland","No ",400206,5853376,55,"South",-37.46110513,145.871586,0.99972267,-0.686384,1459.680054,6.541120052,65.3911972,4.882880211,0.997659981,0.143600002,1.765849948,
116,"27/3/2007","March","N28","N28",,"Male",135.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",400206,5853376,55,"South",-37.46110513,145.871586,0.99972267,-0.686384,1459.680054,6.541120052,65.3911972,4.882880211,0.997659981,0.143600002,1.765849948,
117,"27/3/2007","March","N29","N29","New","Male",145.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",399833,5852628,55,"South",-37.46780573,145.8672674,0.99972359,-0.689116,1425.310059,15.1857996,119.7990036,4.065760136,0.813898027,6.880280018,5.64978981,
